Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Andaman & Nicobar Islands,2001.0,Rape,01. Rape,5.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,34.0,36.0,3.0,3.0,5.0,0.0,0.0,39.0
Andhra Pradesh,2001.0,Rape,01. Rape,731.0,22.0,769.0,35.0,197.0,74.0,791.0,3.0,393.0,390.0,1974.0,2170.0,871.0,769.0,928.0,2.0,0.0,2937.0
Arunachal Pradesh,2001.0,Rape,01. Rape,1.0,2.0,25.0,0.0,2.0,0.0,27.0,0.0,18.0,12.0,282.0,260.0,33.0,25.0,3.0,0.0,0.0,285.0
Assam,2001.0,Rape,01. Rape,334.0,95.0,495.0,10.0,101.0,45.0,590.0,0.0,1045.0,863.0,1964.0,1914.0,817.0,495.0,435.0,0.0,0.0,2409.0
Bihar,2001.0,Rape,01. Rape,406.0,141.0,685.0,0.0,155.0,105.0,826.0,0.0,488.0,531.0,3185.0,3061.0,888.0,685.0,561.0,0.0,0.0,3746.0
Chandigarh,2001.0,Rape,01. Rape,9.0,0.0,16.0,0.0,2.0,2.0,16.0,0.0,1.0,1.0,34.0,29.0,18.0,16.0,11.0,0.0,0.0,45.0
Chhattisgarh,2001.0,Rape,01. Rape,520.0,15.0,976.0,1.0,158.0,11.0,991.0,1.0,86.0,130.0,3966.0,3669.0,959.0,976.0,678.0,0.0,0.0,4645.0
Dadra & Nagar Haveli,2001.0,Rape,01. Rape,0.0,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.0,3.0,21.0,14.0,6.0,8.0,1.0,0.0,0.0,22.0
Daman & Diu,2001.0,Rape,01. Rape,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0
Delhi,2001.0,Rape,01. Rape,80.0,65.0,361.0,0.0,29.0,1.0,426.0,0.0,197.0,243.0,1651.0,1399.0,381.0,361.0,109.0,0.0,0.0,1760.0
